name,position,comment,px,py,pz,pe,s0pos,s1pos,
,,,,,,,,,
plate_staging,0,,156.3,20,2.5,,,,
plate_backlight,0,bottom,359.1,187.2,11.85,2.5,35,,
plate_stack,A1,,77,20,2.5,,,,
plate_stack,B1,,77,100,2,,,,
plate_stack,C1,,77,179.5,0.5,,,,
needle_pos,sterilization,,331.4,191.9,46.5,,,,
needle_pos,backlit_plate,,258.5,157,10.25,,,,
culture_24well,A1,,310,89.5,22,-2.5,,,
culture_24well,D6,,256,0,22,-2.5,,,
neutral_position,0,,232.5,110,64.5,,,,
,,,,,,,,,
plate_staging,1,,156.3,20,16,,,,
plate_staging,2,,156.3,20,29.5,,,,
plate_stack,A2,,77,20,16,,,,
plate_stack,A3,,77,20,29.5,,,,
plate_stack,B2,,77,100,15.5,,,,
plate_stack,B3,,77,100,29,,,,
plate_stack,C2,,77,179.5,14,,,,
plate_stack,C3,,77,179.5,27.5,,,,
culture_24well,A2,,310,71.6,20.5,-2.5,,,
culture_24well,A3,,310,53.7,20.5,-2.5,,,
culture_24well,A4,,310,35.8,20.5,-2.5,,,
culture_24well,A5,,310,17.9,20.5,-2.5,,,
culture_24well,A6,,310,0,20.5,-2.5,,,
culture_24well,B1,,292,89.5,20.5,-2.5,,,
culture_24well,B2,,292,71.6,20.5,-2.5,,,
culture_24well,B3,,292,53.7,20.5,-2.5,,,
culture_24well,B4,,292,35.8,20.5,-2.5,,,
culture_24well,B5,,292,17.9,20.5,-2.5,,,
culture_24well,B6,,292,0,20.5,-2.5,,,
culture_24well,C1,,274,89.5,20.5,-2.5,,,
culture_24well,C2,,274,71.6,20.5,-2.5,,,
culture_24well,C3,,274,53.7,20.5,-2.5,,,
culture_24well,C4,,274,35.8,20.5,-2.5,,,
culture_24well,C5,,274,17.9,20.5,-2.5,,,
culture_24well,C6,,274,0,20.5,-2.5,,,
culture_24well,D1,,256,89.5,20.5,-2.5,,,
culture_24well,D2,,256,71.6,20.5,-2.5,,,
culture_24well,D3,,256,53.7,20.5,-2.5,,,
culture_24well,D4,,256,35.8,20.5,-2.5,,,
culture_24well,D5,,256,17.9,20.5,-2.5,,,
z_heights,plate_flip,,,,32.5,,,,
z_heights,top,,,,67,,,,
z_heights,clear_plates,,,,,,,,
z_heights,plate_height,,,,13.5,,,,
modifiers,lid_z_addition,,,,7,,,,
servo,lid_grip,,,,,,,35,
servo,grip,,,,,,,30,
servo,ungrip,,,,,,,50,
servo,lid_down,,,,,,150,,
servo,lid_up,,,,,,35,,